,WQL,WQL,WQL,WQL,WQL,WQL,WQL,MASE,MASE,MASE,MASE,MASE,MASE,MASE
,C2 zs-CL,C2 zs-uni,T5 1s,C2 1s-CLtrain,C2 1s-CLeval,C2 1s-uni,T5 zs,C2 zs-CL,T5 1s,C2 zs-uni,C2 1s-CLtrain,C2 1s-uni,C2 1s-CLeval,T5 zs
dataset,,,,,,,,,,,,,,
monash_hospital,0.702097660363169,0.7418984813070226,0.8514678494291923,0.7208655211831286,0.6990134409364409,0.7135062895488908,0.8030833250986206,0.8039860866930127,0.8899084048690754,0.8390122641202119,0.8406414497017096,0.837682603155174,0.8262602158758627,0.8764162091682418
monash_m1_monthly,0.6183763079939827,0.7657496583262129,0.8315973198591268,0.8640285115203594,0.760304043052036,0.8857785956780384,0.7594022949403165,0.7493135699657033,0.8274680088061719,0.7814119636861387,0.7682220219097521,0.8124391692911456,0.7966688383587615,0.8910165190422538
monash_m1_quarterly,0.5762657555988346,0.5573637245914307,0.4977067645020587,0.5989824806731773,0.5647862278930802,0.6310877003114498,0.7609950623669961,0.791444344966184,0.794958981778882,0.8003361292322316,0.9120659642724537,0.8251100976638471,0.8310645134401765,0.8782603701985031
monash_m1_yearly,0.6147479550539698,0.6586364293912697,0.5519468415413205,0.5009265304634423,0.5714284939341051,0.5843440042151362,0.8629951425146073,0.7257163502659215,0.6436207358206837,0.7824997955304727,0.7201842773495661,0.7269762459205649,0.7250506386029674,1.0005754830470182
monash_m3_monthly,0.5730387115078954,0.5767795085432479,0.6347573046064271,0.5954312299227503,0.5838841154410529,0.5957424864642958,0.6775218606489551,0.7101004985501254,0.7215362365713157,0.6994519448821488,0.7349115028071294,0.7336456302750818,0.714965523266345,0.7652801368747347
monash_m3_quarterly,0.6645076415901202,0.6962657879199166,0.7023744587023895,0.6766588495377569,0.6723652914112316,0.7038568941727916,0.811958860052597,0.7835835237155747,0.7891420799280415,0.8162668365578403,0.7973791139818203,0.8231522388288253,0.7931534272187833,0.9061090446040356
monash_m3_yearly,0.8584646065951969,0.8820667401287676,0.9198447882555049,0.9528704771365679,0.9130560252807074,0.8904544810397146,0.9788514060312385,0.9263722176276682,0.9177227818063559,0.944832410066191,1.0804017681357416,0.9885123213914497,0.9924460133877446,1.077454436431164
monash_nn5_weekly,0.6529843914224417,0.6653075735960339,0.7367099330371747,0.6507073237105386,0.6557488673223408,0.6553631712639671,0.7718093325192468,0.8239334904902507,0.8453673881404993,0.8307349241918638,0.8062381210431346,0.8156269412327424,0.8185989137357685,0.9056110897300915
monash_tourism_monthly,0.6903905332477769,0.6966420672723669,0.8434268568269702,0.9472814555152412,0.9384968338646943,0.9785495726877398,1.0699795791923394,0.8446298420842759,0.9143308417591278,0.8725321540633674,0.9354532330746922,1.0256637016184305,1.042905000331678,1.188198300767606
monash_tourism_quarterly,0.5101292865589425,0.542483830489799,0.5592465989756775,0.6090144025165612,0.6399088966244804,0.6584745478961774,0.5547858806213211,0.9132151246910245,0.924318003463061,0.9218570799695315,0.913054242768882,1.068897434292272,1.074603727012259,1.0408220263373449
monash_tourism_yearly,0.71562221285038,0.7231068094224165,0.633248898995364,0.6746161295475789,0.6630179422119885,0.6861736903191559,1.0106602825789164,1.028527266434458,0.9090205857955582,1.0325498864515483,1.0405292260561272,1.0266167665598604,1.0354207949681438,1.1191194180810742
