dataset,family,severity,n_series,clamped_frac,clamped_lo_frac,clamped_hi_frac,series_any_clamped,scale_mean,nominal_p99,nominal_max,realized_p99,realized_max
monash_australian_electricity,drift,6.0,5,0.0,0.0,0.0,0.0,5647.792767333985,1.5099704027175904,1.5264048099517822,1.5099704027175904,1.5264048099517822
monash_australian_electricity,drift,9.0,5,0.0,0.0,0.0,0.0,8421.086376953124,1.1781922817230224,1.186335849761963,1.1781922817230224,1.186335849761963
monash_australian_electricity,drift,12.0,5,0.0,0.0,0.0,0.0,9383.379833984374,1.1467019319534302,1.1534973621368407,1.1467019319534302,1.1534973621368407
monash_australian_electricity,drift,16.0,5,0.0,0.0,0.0,0.0,10446.435595703126,1.1131089210510254,1.1176178216934205,1.1131089210510254,1.1176178216934205
monash_australian_electricity,drift,20.0,5,0.0,0.0,0.0,0.0,14003.090625,1.0878253698348999,1.0925136804580688,1.0878253698348999,1.0925136804580688
monash_australian_electricity,drift,26.0,5,0.0,0.0,0.0,0.0,18960.5671875,1.0646177530288696,1.0676580667495728,1.0646177530288696,1.0676580667495728
monash_australian_electricity,drift,32.0,5,0.0,0.0,0.0,0.0,24841.42548828125,1.0471439361572266,1.0487653732299804,1.0471439361572266,1.0487653732299804
monash_australian_electricity,drift_step,0.5,5,0.0,0.0,0.0,0.0,3628.563861083984,1.3876269102096557,1.4126936435699462,1.3876269102096557,1.4126936435699462
monash_australian_electricity,drift_step,1.0,5,0.0,0.0,0.0,0.0,3628.563861083984,1.3876269102096557,1.4126936435699462,1.3876269102096557,1.4126936435699462
monash_australian_electricity,drift_step,2.0,5,0.0,0.0,0.0,0.0,3628.563861083984,1.3876269102096557,1.4126936435699462,1.3876269102096557,1.4126936435699462
monash_australian_electricity,drift_step,4.0,5,0.0,0.0,0.0,0.0,3628.563861083984,1.3876269102096557,1.4126936435699462,1.3876269102096557,1.4126936435699462
monash_australian_electricity,drift_step,8.0,5,0.0,0.0,0.0,0.0,3628.563861083984,1.3876269102096557,1.4126936435699462,1.3876269102096557,1.4126936435699462
monash_australian_electricity,drift_step,12.0,5,0.0,0.0,0.0,0.0,3628.563861083984,1.3876269102096557,1.4126936435699462,1.3876269102096557,1.4126936435699462
monash_australian_electricity,drift_step,16.0,5,0.0,0.0,0.0,0.0,3628.563861083984,1.3876269102096557,1.4126936435699462,1.3876269102096557,1.4126936435699462
monash_australian_electricity,drift_step,20.0,5,0.0,0.0,0.0,0.0,3628.563861083984,1.3876269102096557,1.4126936435699462,1.3876269102096557,1.4126936435699462
monash_australian_electricity,gap,0.05,5,0.0,0.0,0.0,0.0,3628.563861083984,1.3876269102096557,1.4126936435699462,1.3876269102096557,1.4126936435699462
monash_australian_electricity,gap,0.1,5,0.0,0.0,0.0,0.0,3628.563861083984,1.3876269102096557,1.4126936435699462,1.3876269102096557,1.4126936435699462
monash_australian_electricity,gap,0.15,5,0.0,0.0,0.0,0.0,3628.563861083984,1.3876269102096557,1.4126936435699462,1.3876269102096557,1.4126936435699462
monash_australian_electricity,gap,0.2,5,0.0,0.0,0.0,0.0,3628.563861083984,1.3876269102096557,1.4126936435699462,1.3876269102096557,1.4126936435699462
monash_australian_electricity,gap,0.3,5,0.0,0.0,0.0,0.0,3628.563861083984,1.3876269102096557,1.4126936435699462,1.3876269102096557,1.4126936435699462
monash_australian_electricity,gap,0.4,5,0.0,0.0,0.0,0.0,3628.563861083984,1.3876269102096557,1.4126936435699462,1.3876269102096557,1.4126936435699462
monash_australian_electricity,gap,0.5,5,0.0,0.0,0.0,0.0,3628.563861083984,1.3876269102096557,1.4126936435699462,1.3876269102096557,1.4126936435699462
monash_australian_electricity,gap,0.6,5,0.0,0.0,0.0,0.0,3628.563861083984,1.3876269102096557,1.4126936435699462,1.3876269102096557,1.4126936435699462
monash_australian_electricity,gap,0.7,5,0.0,0.0,0.0,0.0,3628.563861083984,1.3876269102096557,1.4126936435699462,1.3876269102096557,1.4126936435699462
monash_cif_2016,clean,0.0,72,0.0,0.0,0.0,0.0,38747342.2809986,1.4322030643622081,1.468560712205039,1.4322030643622081,1.468560712205039
monash_cif_2016,spikes_intensity,1.0,72,0.0,0.0,0.0,0.0,39146237.79296103,1.4550984419054456,1.513003991709815,1.4550984419054456,1.513003991709815
monash_cif_2016,spikes_intensity,2.0,72,0.0,0.0,0.0,0.0,38486856.18285308,1.4841142197450001,1.5931829727358289,1.4841142197450001,1.5931829727358289
monash_cif_2016,spikes_intensity,4.0,72,0.0,0.0,0.0,0.0,38961875.04867275,1.7363921586010191,1.9167055305507448,1.7363921586010191,1.9167055305507448
monash_cif_2016,spikes_intensity,6.0,72,0.0,0.0,0.0,0.0,40507246.65475121,2.071618121531275,2.317839144004716,2.071618121531275,2.317839144004716
monash_cif_2016,spikes_intensity,8.0,72,0.0,0.0,0.0,0.0,41303013.11915985,2.413262469900979,2.6928518960873284,2.413262469900979,2.6928518960873284
monash_cif_2016,spikes_intensity,12.0,72,0.0,0.0,0.0,0.0,43767390.79347286,2.9783778157499103,3.3144592775238886,2.9783778157499103,3.3144592775238886
monash_cif_2016,spikes_intensity,16.0,72,0.0,0.0,0.0,0.0,44584116.7051083,3.5401230967707105,3.9579959180619984,3.5401230967707105,3.9579959180619984
monash_cif_2016,spikes_intensity,20.0,72,0.0,0.0,0.0,0.0,46582694.78405853,3.9979263097047806,4.462615266442299,3.9979263097047806,4.462615266442299
monash_cif_2016,spikes_intensity,30.0,72,0.0,0.0,0.0,0.0,50238289.51573766,5.329534096850289,5.715843735469712,5.329534096850289,5.715843735469712
