dataset,freq,arm,MASE,WQL,n_series
monash_m3_quarterly,quarterly,foreign_samefreq,1.2228050606982221,0.07217645465142691,100
monash_m3_quarterly,quarterly,foreign_difffreq,1.2249486935890714,0.07182727677800452,100
monash_m3_yearly,yearly,univariate,3.0150034172881677,0.14673082578104982,100
monash_m3_yearly,yearly,native,3.0529999151108806,0.14911282491960418,100
monash_m3_yearly,yearly,foreign_samefreq,2.928207568281773,0.14088641137854854,100
monash_m3_yearly,yearly,foreign_difffreq,3.0566232805007365,0.14844970163631407,100
m4_quarterly,quarterly,univariate,1.1087943817420758,0.07354872695133258,100
m4_quarterly,quarterly,native,1.0607756623449243,0.07010878332727888,100
m4_quarterly,quarterly,foreign_samefreq,1.0692488239851325,0.07043273401025667,100
m4_quarterly,quarterly,foreign_difffreq,1.0947502112309058,0.07126205641264777,100
m4_yearly,yearly,univariate,3.0040130240411895,0.11662613831976579,100
m4_yearly,yearly,native,2.9638064368385,0.11503939272741714,100
m4_yearly,yearly,foreign_samefreq,3.0500475043428303,0.11787592490525557,100
m4_yearly,yearly,foreign_difffreq,2.989690748511377,0.11621721371468724,100
m5,daily,univariate,0.8901612330306254,0.5275868642784167,100
m5,daily,native,0.9005717089382363,0.5470510100156958,100
m5,daily,foreign_samefreq,0.8975321019025507,0.5387538232739625,100
m5,daily,foreign_difffreq,0.8971841715876383,0.545560694017823,100
nn5,daily,univariate,0.5565913713457802,0.14567042726529195,100
nn5,daily,native,0.5351440255505258,0.14157813099326844,100
nn5,daily,foreign_samefreq,0.5345466060338446,0.14070489140551212,100
nn5,daily,foreign_difffreq,0.5400491022587626,0.1423902231414014,100
monash_nn5_weekly,weekly,univariate,0.8589382839096138,0.07810860181601514,100
monash_nn5_weekly,weekly,native,0.8608312991128827,0.07762564044103884,100
monash_nn5_weekly,weekly,foreign_samefreq,0.8942566010548333,0.08018287543544077,100
monash_nn5_weekly,weekly,foreign_difffreq,0.8880230387992792,0.08019179877503353,100
monash_tourism_monthly,monthly,univariate,1.3429216150465084,0.06912594948793244,100
monash_tourism_monthly,monthly,native,1.2758506769802234,0.06511237787521712,100
monash_tourism_monthly,monthly,foreign_samefreq,1.3141962641991485,0.06888834978388168,100
monash_tourism_monthly,monthly,foreign_difffreq,1.3238628396776573,0.07048061043851829,100
monash_tourism_quarterly,quarterly,univariate,1.5904936215123098,0.0706575838141224,100
monash_tourism_quarterly,quarterly,native,1.49593457310799,0.06634532656916298,100
monash_tourism_quarterly,quarterly,foreign_samefreq,1.5001434626692527,0.06473491484112852,100
monash_tourism_quarterly,quarterly,foreign_difffreq,1.5565666069165531,0.06733280212444476,100
monash_tourism_yearly,yearly,univariate,3.572430845714533,0.16537577799438438,100
monash_tourism_yearly,yearly,native,3.6750883489728703,0.15900550167476457,100
monash_tourism_yearly,yearly,foreign_samefreq,3.7164979767033754,0.16788800080650873,100
monash_tourism_yearly,yearly,foreign_difffreq,3.547191656857304,0.177771519153819,100
monash_traffic,hourly,univariate,0.8273611484511846,0.27369238374868954,100
monash_traffic,hourly,native,0.8402271180235892,0.27602167217225637,100
monash_traffic,hourly,foreign_difffreq,0.8199805972000374,0.2635924107308402,100
monash_weather,daily,univariate,0.9772874133338347,0.12511521155875818,100
monash_weather,daily,native,1.0350500649246417,0.12614815467850213,100
monash_weather,daily,foreign_samefreq,1.0116656622716853,0.12775752483541603,100
monash_weather,daily,foreign_difffreq,1.0382920265602074,0.12816808350894504,100
