dataset,w_c2,w_t5,ratio_t5_over_c2
monash_m1_monthly,766.6667,770.20184,1.004611
monash_m1_monthly,165.55556,176.60141,1.0667199
monash_m1_monthly,213.0,200.6109,0.9418352
monash_m1_monthly,62.555557,83.81888,1.339911
monash_m1_monthly,7232.0,5022.291,0.69445395
monash_m1_monthly,490.8889,280.52353,0.57146037
monash_m1_monthly,2657.7778,1802.8403,0.6783262
monash_m1_monthly,1414.2222,707.53656,0.5003009
monash_m1_monthly,25674.666,11933.364,0.46479142
monash_m1_monthly,313.77777,415.04562,1.3227375
monash_m1_monthly,154.11111,59.71807,0.38750008
monash_m1_monthly,31.0,27.147495,0.8757256
monash_m1_monthly,24.833334,29.826792,1.2010789
monash_m1_monthly,1125.3334,672.9094,0.5979645
monash_m1_monthly,1581.3334,829.2019,0.5243688
monash_m1_monthly,33248.0,17311.76,0.52068573
monash_m1_monthly,11406.223,17421.387,1.527358
monash_m1_monthly,972.0,914.579,0.9409249
monash_m1_monthly,713.3333,596.9297,0.8368173
monash_m1_monthly,364.44446,317.46024,0.87107986
monash_m1_monthly,30.694445,27.314837,0.88989514
monash_m1_monthly,1.859375,0.85086966,0.45761058
monash_m1_monthly,146.0,106.02453,0.7261954
monash_m1_monthly,11050.667,12130.294,1.0976979
monash_m1_monthly,8379.083,5253.9795,0.62703514
monash_m1_monthly,103.111115,107.38802,1.0414786
monash_m1_monthly,4051.5557,3343.9014,0.82533765
monash_m1_monthly,83669.336,35503.227,0.42432782
monash_m1_monthly,59.61111,63.500504,1.0652461
monash_m1_monthly,1.3318143,0.7541488,0.5662567
monash_m1_monthly,2.2873263,1.4903564,0.6515714
monash_m1_monthly,16.777779,14.250194,0.84934926
monash_m1_monthly,1.1458334,1.1603985,1.0127114
monash_m1_monthly,28.833334,27.648232,0.9588982
monash_m1_monthly,16.98611,14.9278345,0.8788259
monash_m1_monthly,62.11111,66.07741,1.0638582
monash_m1_monthly,628.44446,430.28207,0.68467796
monash_m1_monthly,80.888885,97.39811,1.2040975
monash_m1_monthly,5.826389,3.1306944,0.53733015
monash_m1_monthly,5.0086803,3.2387846,0.6466343
monash_m1_monthly,3390.2222,1884.2274,0.55578285
monash_m1_monthly,6.357639,3.9311154,0.61832947
monash_m1_monthly,42.569443,26.167376,0.6146986
monash_m1_monthly,1183.1111,686.647,0.58037406
monash_m1_monthly,108.388885,65.8476,0.6075125
monash_m1_monthly,3896.889,2458.898,0.63099
monash_m1_monthly,109.333336,102.652374,0.9388936
monash_m1_monthly,14805.333,16549.309,1.1177938
monash_m1_monthly,1349.3334,732.432,0.54281026
monash_m1_monthly,19.38889,21.324404,1.099826
monash_m1_monthly,24.88889,29.789177,1.1968865
monash_m1_monthly,10.333333,13.165065,1.2740386
monash_m1_monthly,52.77778,61.32408,1.16193
monash_m1_monthly,17.916666,15.685362,0.8754621
monash_m1_monthly,33.38889,24.770544,0.7418798
monash_m1_monthly,11.111111,12.321901,1.1089711
monash_m1_monthly,16.055555,13.090165,0.8153044
monash_m1_monthly,14.472222,15.790383,1.0910821
monash_m1_monthly,23.833334,41.28744,1.7323401
monash_m1_monthly,19939.555,14351.048,0.7197276
monash_m1_monthly,38.25,26.734184,0.69893295
monash_m1_monthly,493.77777,383.93408,0.77754426
monash_m1_monthly,22.11111,14.358897,0.6493974
monash_m1_monthly,33.77778,33.38883,0.98848504
monash_m1_monthly,1.1743232,0.7935689,0.67576706
monash_m1_monthly,42.63889,37.14935,0.8712551
monash_m1_monthly,19.75,23.846403,1.2074128
monash_m1_monthly,35.166668,35.107346,0.9983131
monash_m1_monthly,36.083332,30.827097,0.85433066
monash_m1_monthly,1.3862847,1.104888,0.79701376
monash_m1_monthly,13.055555,12.350152,0.9459691
monash_m1_monthly,4.045356,1.4003013,0.34615034
monash_m1_monthly,32.86111,19.628706,0.59732324
monash_m1_monthly,442.22223,367.99847,0.8321573
monash_m1_monthly,3.7013888,5.853201,1.5813526
monash_m1_monthly,26.45139,7.6620483,0.28966525
