decode_seed,dataset,model,family,severity,MASE,WQL,n_series,ctx_digest
0,monash_australian_electricity,chronos-t5,spikes_intensity,20.0,1.0440586680811526,0.068941574340409,5,fc94b5fef914ba7c
0,monash_australian_electricity,chronos-t5,spikes_intensity,30.0,1.0661346846602169,0.0521563514704679,5,c421b7df70734512
0,monash_australian_electricity,chronos-t5,spikes_intensity,40.0,1.1485093308025436,0.0775621850353463,5,514ebb5b2b9f823d
0,monash_car_parts,chronos-t5,clean,0.0,0.9210502929532032,1.0933709569566032,100,d1853c77ba0bd2eb
0,monash_car_parts,chronos-t5,spikes_intensity,1.0,0.9092109489796966,1.0202266714352002,100,7d5cb79432b86f65
0,monash_car_parts,chronos-t5,spikes_intensity,2.0,0.9248242745402956,1.0591025287165283,100,4aee5a248eed22d8
0,monash_car_parts,chronos-t5,spikes_intensity,4.0,0.9326160259639592,1.1251202617483869,100,92c384a479576efa
0,monash_car_parts,chronos-t5,spikes_intensity,6.0,0.9526453166195152,1.1282425224094728,100,01e2e4f7f5d6126c
0,monash_car_parts,chronos-t5,spikes_intensity,8.0,0.923796264430599,1.1246471260970394,100,640f3429f1fd3eca
0,monash_car_parts,chronos-t5,spikes_intensity,12.0,0.9057162606632194,1.0593407782536448,100,b595d5004bd8cbba
0,monash_car_parts,chronos-t5,spikes_intensity,16.0,0.897909904818536,1.0417591856800894,100,90f3b31afa2c959c
0,monash_car_parts,chronos-t5,spikes_intensity,20.0,0.9298086119083644,1.110812688951739,100,2ae1e795bb3afaaa
0,monash_car_parts,chronos-t5,spikes_intensity,30.0,0.9178534866364018,1.1754742809919003,100,3820c2cc82a6611e
0,monash_car_parts,chronos-t5,spikes_intensity,40.0,0.9030929150447736,1.1646023366720883,100,ceb769504c62b52c
0,monash_cif_2016,chronos-t5,clean,0.0,0.9939565580468096,0.0138880631231882,72,e4e15f9e2e7a0573
0,monash_cif_2016,chronos-t5,spikes_intensity,1.0,1.0864694039116016,0.0123933543686988,72,afe900560fb12fd9
0,monash_cif_2016,chronos-t5,spikes_intensity,2.0,1.1150443903931435,0.0201466615602385,72,8fd7b3b18790cfed
0,monash_cif_2016,chronos-t5,spikes_intensity,4.0,1.2752585262872047,0.3839643892477673,72,4a4e1d2284da3123
0,monash_cif_2016,chronos-t5,spikes_intensity,6.0,1.4689251874068503,0.017324038667421,72,c2a8cd1e6e928de2
0,monash_cif_2016,chronos-t5,spikes_intensity,8.0,1.0835718387856166,0.0130207804272569,72,d31f557b9421f107
0,monash_cif_2016,chronos-t5,spikes_intensity,12.0,1.1029049466075822,0.0285827982915962,72,1b614f5dea80b158
0,monash_cif_2016,chronos-t5,spikes_intensity,16.0,1.1354094775385872,0.0126212154569431,72,6760f0030b816bc4
0,monash_cif_2016,chronos-t5,spikes_intensity,20.0,1.0904913615531329,0.0150934058947981,72,621d2bd7286f3b0b
0,monash_cif_2016,chronos-t5,spikes_intensity,30.0,1.1849408570518138,0.0269054854812355,72,e1ed3260b28feb2e
0,monash_cif_2016,chronos-t5,spikes_intensity,40.0,1.0745846649308075,0.0115885017674322,72,33b5766bc4a0e864
0,monash_covid_deaths,chronos-t5,clean,0.0,50.51105006993207,0.0506425269763182,100,45dec5fd7f93b8a9
0,monash_covid_deaths,chronos-t5,spikes_intensity,1.0,56.88970247799659,0.0640695444109632,100,5b5a71d09cc799f0
0,monash_covid_deaths,chronos-t5,spikes_intensity,2.0,58.75664172581646,0.0802936676577872,100,a7c86375b99c1fa3
0,monash_covid_deaths,chronos-t5,spikes_intensity,4.0,60.01219682307608,0.0687463996114833,100,9a4298d530e4aeab
0,monash_covid_deaths,chronos-t5,spikes_intensity,6.0,54.15661409383932,0.0525027234739582,100,3ddb1f940ccb4aa3
0,monash_covid_deaths,chronos-t5,spikes_intensity,8.0,58.049099368765006,0.0586160204985145,100,d3a8b07f12c7c85d
0,monash_covid_deaths,chronos-t5,spikes_intensity,12.0,60.8204157782544,0.4392683153478355,100,4000dde85f6da696
0,monash_covid_deaths,chronos-t5,spikes_intensity,16.0,52.25913798943903,0.0416775998466383,100,9ce98551d46c2498
0,monash_covid_deaths,chronos-t5,spikes_intensity,20.0,50.04475765169211,0.0473308310865119,100,d6af9061c8d96aa2
0,monash_covid_deaths,chronos-t5,spikes_intensity,30.0,51.41538213485086,0.0508976428493658,100,740a4a236dab1ca5
0,monash_covid_deaths,chronos-t5,spikes_intensity,40.0,52.51909830771277,0.0396979649588673,100,c4e34a0b355f736d
0,monash_fred_md,chronos-t5,clean,0.0,0.4444821362323673,0.016194905629114,100,5cb073350fee3717
0,monash_fred_md,chronos-t5,spikes_intensity,1.0,0.7274022972667443,0.0162199574402909,100,cac8593e17561a7d
0,monash_fred_md,chronos-t5,spikes_intensity,2.0,1.0104506059860765,0.0228360475118249,100,79a93c4dc9712aed
0,monash_fred_md,chronos-t5,spikes_intensity,4.0,0.4887469084600611,0.0229326231248413,100,353132d58e0dac4a
0,monash_fred_md,chronos-t5,spikes_intensity,6.0,3.3939770749319718,0.0572259113190935,100,b6b9c82a236ea67c
0,monash_fred_md,chronos-t5,spikes_intensity,8.0,1.7024880192369545,0.0350013919067452,100,a0c7ec6b89ba0d5e
0,monash_fred_md,chronos-t5,spikes_intensity,12.0,2.3110481117904644,0.0530309871183342,100,d7c602b2ab392a5b
0,monash_fred_md,chronos-t5,spikes_intensity,16.0,0.8516871749525595,0.0300492431292496,100,64f5a5df4d86f90d
0,monash_fred_md,chronos-t5,spikes_intensity,20.0,0.5142995727277667,0.0226515164165831,100,fdbcd909e47ec815
0,monash_fred_md,chronos-t5,spikes_intensity,30.0,0.4763997927304481,0.0233110021539954,100,4488d45f91251ce7
0,monash_fred_md,chronos-t5,spikes_intensity,40.0,0.6458839637279103,0.0327073650694208,100,87a826b17571d826
0,monash_hospital,chronos-t5,clean,0.0,0.843113891375496,0.0672613080996605,100,702d687834202dd3
0,monash_hospital,chronos-t5,spikes_intensity,1.0,0.8687595918213115,0.0692429381284602,100,a514afd589500028
0,monash_hospital,chronos-t5,spikes_intensity,2.0,0.8340539381635941,0.0707039722583985,100,0d7513bd9a82205d
0,monash_hospital,chronos-t5,spikes_intensity,4.0,0.8725629544314092,0.0840419008628528,100,bc8b8a08c2f29074
0,monash_hospital,chronos-t5,spikes_intensity,6.0,0.8335854452460345,0.0655689015814936,100,8bdf11645fa2a15c
0,monash_hospital,chronos-t5,spikes_intensity,8.0,0.8552278449560261,0.0690831119299147,100,ef2c7f07eeef64d8
0,monash_hospital,chronos-t5,spikes_intensity,12.0,0.8170803663584761,0.065358891525454,100,5e232bb6cd6f0289
0,monash_hospital,chronos-t5,spikes_intensity,16.0,0.8159768561820723,0.0642991750963529,100,a155d95bdebdd417
0,monash_hospital,chronos-t5,spikes_intensity,20.0,0.8255249277538996,0.0672949258280884,100,c5dc2b8d33118f5c
0,monash_hospital,chronos-t5,spikes_intensity,30.0,0.8476747452611942,0.0684806274237315,100,a4b865f13dba932c
0,monash_hospital,chronos-t5,spikes_intensity,40.0,0.8214282367905518,0.0661701211921966,100,a2e0751730a5b79e
0,monash_m1_monthly,chronos-t5,clean,0.0,1.1643013260136694,0.2078109446865823,100,c2b6b5f8b9fa16e2
0,monash_m1_monthly,chronos-t5,spikes_intensity,1.0,1.1598596437912232,0.2072767714502479,100,ddd71f00f6d8886a
0,monash_m1_monthly,chronos-t5,spikes_intensity,2.0,1.1667665753391034,0.1886365652029594,100,7d3abb85cfac0600
0,monash_m1_monthly,chronos-t5,spikes_intensity,4.0,1.2075479280988066,0.2420118064922631,100,39fa4d59bbdb08f3
0,monash_m1_monthly,chronos-t5,spikes_intensity,6.0,1.3223968726741973,0.2259233860766807,100,f1afde404b9f5961
0,monash_m1_monthly,chronos-t5,spikes_intensity,8.0,1.23777458792537,0.2170336208174183,100,9db2b10efad593eb
0,monash_m1_monthly,chronos-t5,spikes_intensity,12.0,1.206229193995658,0.2089639447630115,100,b6525f32eaaf3e49
0,monash_m1_monthly,chronos-t5,spikes_intensity,16.0,1.2815239108468912,0.2064773577916033,100,104307e6f3505d62
0,monash_m1_monthly,chronos-t5,spikes_intensity,20.0,1.35423210294671,0.2082620351884608,100,a5ec76b5ea716248
0,monash_m1_monthly,chronos-t5,spikes_intensity,30.0,1.121837620515954,0.1866035081713171,100,1215407a10c38f0b
0,monash_m1_monthly,chronos-t5,spikes_intensity,40.0,1.3969809779135007,0.2037950766232946,100,45b4792a804b00a5
0,monash_m1_quarterly,chronos-t5,clean,0.0,1.7384235644141035,0.0951933223495376,100,88c3945422a1e782
0,monash_m1_quarterly,chronos-t5,spikes_intensity,1.0,1.8431833923049816,0.0855123172693904,100,c6939c55db4e3cd4
